,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
0,Neogenic Nightmare Chapter 3: Hydro-Man,"(7, 8]",1995,3.713572066704308,6.659293919683638,0.6931471805599453,3.091042453358316,tvEpisode,False,0.6931471805599453,['US'],"['Action', 'Adventure', 'Animation']",8,3,1.0,False,False,False
1,Looping,"(5, 6]",1982,3.273392705380262,2.4849066497880004,0.6931471805599453,0.6931471805599453,videoGame,False,0.6931471805599453,['XWG'],['Action'],6,1,0.0,False,False,False
2,Idealnaya para,"(5, 6]",1992,4.51085950651685,3.6635616461296463,0.6931471805599453,3.2188758248682006,movie,False,0.6931471805599453,['RU'],['Comedy'],6,1,0.0,False,False,False
3,MasterChef Celebrity México,"(5, 6]",2021,3.4657359027997265,2.772588722239781,3.1354942159291497,4.04305126783455,tvSeries,True,0.6931471805599453,['MX'],['Reality-TV'],6,1,0.0,False,False,False
4,Seutateueob,"(7, 8]",2020,4.394449154672439,9.662625450728237,5.8522024797744745,3.871201010907891,tvSeries,True,3.4965075614664802,['KR'],"['Comedy', 'Drama', 'Romance']",8,3,0.008771929824561403,True,True,False
5,Lightdance,"(8, 9]",1995,3.5553480614894135,2.70805020110221,0.6931471805599453,0.0,video,False,0.6931471805599453,['US'],"['Documentary', 'Short']",9,2,0.0,False,False,False
6,"Kiss, Kiss Bang, Bang","(7, 8]",1995,3.828641396489095,4.574710978503383,1.791759469228055,4.709530201312334,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Romance']",8,2,0.0,False,False,False
7,Nanba MG5,"(7, 8]",2022,4.110873864173311,4.2626798770413155,2.0794415416798357,4.248495242049359,tvMiniSeries,True,2.70805020110221,['JP'],['Comedy'],8,1,0.0,False,False,False
8,Estrela de Oito Pontas,"(7, 8]",1996,2.5649493574615367,2.5649493574615367,0.6931471805599453,1.0986122886681098,short,False,0.6931471805599453,['BR'],"['Animation', 'Short']",8,2,0.0,True,False,False
9,Ulot Puran,"(8, 9]",2022,4.110873864173311,3.332204510175204,2.302585092994046,2.772588722239781,tvMiniSeries,True,0.6931471805599453,['IN'],['Drama'],9,1,0.0,False,False,False
10,JJBA Mangabridged: Phantom Blood 2 of 2,"(8, 9]",2017,3.8066624897703196,3.5263605246161616,0.6931471805599453,1.791759469228055,tvMovie,False,0.6931471805599453,['US'],['Action'],9,1,0.0,False,False,False
11,1979 AFC Championship Game,"(8, 9]",1980,4.110873864173311,2.302585092994046,0.0,4.23410650459726,tvSpecial,False,0.6931471805599453,['US'],['Sport'],9,1,0.0,False,False,False
12,Golubaya chashka,"(6, 7]",1965,4.110873864173311,3.2188758248682006,0.6931471805599453,3.6109179126442243,movie,False,1.3862943611198906,['SUHH'],['Family'],7,1,0.0,False,False,False
13,The Formula,"(2, 3]",2014,4.51085950651685,6.637258031284457,1.9459101490553132,4.955827057601261,movie,False,1.791759469228055,['US'],"['Comedy', 'Romance']",3,2,0.2,True,True,False
14,Kako ubiv svetec,"(6, 7]",2004,4.418840607796598,5.777652323222656,0.6931471805599453,4.442651256490317,movie,False,1.9459101490553132,"['FR', 'MK', 'SI']",['Drama'],7,1,0.3333333333333333,True,False,True
15,The Electric Can Opener Fluctuation,"(8, 9]",2009,3.091042453358316,8.427049641563272,2.4849066497880004,4.442651256490317,tvEpisode,False,0.6931471805599453,['US'],"['Comedy', 'Romance']",9,2,0.2857142857142857,False,False,False
16,Sashiyum Sakunthalayum,"(4, 5]",2023,4.812184355372417,6.013715156042802,2.0794415416798357,3.1780538303479458,movie,False,1.3862943611198906,['IN'],['Comedy'],5,1,0.0,False,True,False
17,Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,3.713572066704308,2.302585092994046,0.0,3.4339872044851463,tvEpisode,False,0.6931471805599453,['JP'],"['Action', 'Adventure', 'Animation']",9,3,0.0,False,False,False
18,Side Roads,"(6, 7]",2016,2.8903717578961645,2.3978952727983707,0.6931471805599453,1.9459101490553132,short,False,0.6931471805599453,['PL'],['Short'],7,1,0.0,False,False,False
19,Boxeurs,"(4, 5]",1900,0.6931471805599453,2.6390573296152584,0.6931471805599453,1.6094379124341003,short,False,0.6931471805599453,['FR'],"['Comedy', 'Short']",5,2,0.0,False,False,False
20,The New Batman Adventures,"(8, 9]",1997,3.4339872044851463,9.89075686005731,6.579251212010101,6.0844994130751715,tvSeries,True,3.4657359027997265,['US'],"['Action', 'Adventure', 'Animation']",9,3,0.1276595744680851,True,False,False
21,Spring,"(7, 8]",1970,3.1780538303479458,2.4849066497880004,4.543294782270004,2.4849066497880004,tvEpisode,False,0.6931471805599453,['GB'],['Comedy'],8,1,0.0,False,False,False
22,The Whole Truth,"(6, 7]",2016,4.543294782270004,10.438371441395189,3.7376696182833684,5.3471075307174685,movie,False,3.4965075614664802,['US'],"['Crime', 'Drama', 'Mystery']",7,3,0.2688679245283019,True,True,False
23,The Man from Thunder River,"(6, 7]",1943,4.060443010546419,3.4965075614664802,2.4849066497880004,3.58351893845611,movie,False,1.3862943611198906,['US'],"['Drama', 'Western']",7,2,1.0,False,False,False
24,Leichenfund im Jagen 14,"(5, 6]",1968,4.31748811353631,1.9459101490553132,0.0,3.784189633918261,tvEpisode,False,0.6931471805599453,['DDDE'],['Crime'],6,1,0.0,False,False,False
25,What Did You Do in the War Daddy?,"(6, 7]",1970,3.713572066704308,2.995732273553991,1.6094379124341003,2.70805020110221,tvEpisode,False,0.6931471805599453,['GB'],"['Drama', 'History', 'War']",7,3,0.0,False,False,False
26,Stuck in the Middle with You,"(5, 6]",2007,3.4339872044851463,3.1780538303479458,0.6931471805599453,4.007333185232471,tvEpisode,False,0.6931471805599453,['GB'],['Comedy'],6,1,0.0,False,False,False
27,Patagonia Treasure Trail,"(4, 5]",2016,4.454347296253507,3.044522437723423,1.3862943611198906,3.58351893845611,movie,False,1.0986122886681098,['US'],['Western'],5,1,0.0,False,False,False
28,O ahaireftos,"(5, 6]",1970,4.430816798843313,3.091042453358316,3.8501476017100584,3.8066624897703196,movie,False,1.0986122886681098,['GR'],['Comedy'],6,1,0.0,False,False,False
